job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level,automation_risk_category,skill_transition_pressure,wage_volatility_index,reskilling_urgency_score,ai_disruption_intensity,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,period,continent,company_name,company_size,location,remote_allow_percentage,employment_type,experience_level,education_level,top_skills,required_cloud_cert,open_source_contributions_required,salary_usd,equity_offered,expected_weekly_hours,hiring_urgency_score,benefit_stars,job_posted_date,automation_risk,visa_sponsorship,prosperity_score
0,data analyst,Technology,canada,2021,26.22,30.94,73.2,101839.02,99454.42,-2.34,2.66,15.23,86.62,2,Low,49.71,2.34,33.15,22.711764,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,141875.06419400856
1,accountant,Finance,brazil,2020,52.08,56.41,2.06,146389.18,139516.59,-4.69,10.43,26.36,18.34,5,Medium,27.07,4.69,22.857,9.551472,40.2,10.6,26.1,29.2,30.8,32.8,year,South America,,,,,,,,,,,,,,,,,,,347056.1940298507
2,teacher,Technology,usa,2020,31.3,31.61,43.19,64947.5,58369.41,-10.13,8.14,36.29,36.64,2,Medium,37.245,10.13,28.516,11.46832,71.1,40.3,56.4,66.6,70.7,109.5,year,North America,,,,,,,,,,,,,,,,,,,82094.81012658229
3,customer support rep,Technology,brazil,2021,56.92,63.42,19.97,91708.13,86715.7,-5.44,6.11,64.68,17.05,5,Medium,38.445,5.44,30.391,9.704860000000002,31.8,8.1,20.5,25.4,22.5,28.7,year,South America,,,,,,,,,,,,,,,,,,,272690.88050314464
4,teacher,Manufacturing,japan,2024,14.55,17.17,96.56,127007.68,119379.11,-6.01,2.08,71.58,44.02,3,Low,55.555,6.01,36.591,6.404910000000001,50.7,15.1,33.8,55.4,30.9,99.5,year,Asia,,,,,,,,,,,,,,,,,,,235461.75542406307
5,software engineer,Healthcare,singapore,2022,8.54,8.53,3.44,139118.45,150561.57,8.23,-7.21,38.05,52.01,3,Low,5.989999999999999,8.23,6.917,4.441653999999999,84.0,66.4,75.8,77.1,61.2,91.3,year,Asia,,,,,,,,,,,,,,,,,,,179239.9642857143
6,accountant,Manufacturing,australia,2020,48.27,42.18,96.96,123015.94,132100.25,7.38,6.71,17.96,19.6,1,Medium,72.615,7.38,50.61,9.460920000000002,73.5,34.9,55.0,67.2,70.3,107.3,year,Oceania,,,,,,,,,,,,,,,,,,,179728.231292517
7,teacher,Finance,australia,2026,13.17,12.25,38.87,62561.88,59680.04,-4.61,15.57,35.28,54.27,3,Low,26.02,4.61,18.312,7.147359,67.9,33.7,52.7,76.5,65.6,137.3,year,Oceania,,,,,,,,,,,,,,,,,,,87894.0206185567
8,marketing specialist,Retail,usa,2025,19.86,22.27,7.46,148426.43,138379.12,-6.77,11.12,10.5,81.55,4,Low,13.66,6.77,12.213,16.195829999999997,64.9,40.9,54.3,71.7,69.3,146.2,year,North America,,,,,,,,,,,,,,,,,,,213218.98305084743
9,financial analyst,Finance,singapore,2020,59.48,64.93,77.13,38885.36,35622.03,-8.39,1.91,87.68,62.33,5,Medium,68.30499999999999,8.39,49.448,37.073884,81.1,63.3,72.6,66.8,59.0,89.0,year,Asia,,,,,,,,,,,,,,,,,,,43923.588162762026
10,hr manager,Education,germany,2025,33.16,27.37,31.1,69022.0,74630.21,8.13,18.56,89.85,47.22,1,Medium,32.129999999999995,8.13,25.033,15.658151999999998,58.4,22.4,42.4,56.7,57.5,127.1,year,Europe,,,,,,,,,,,,,,,,,,,127791.45547945207
11,software engineer,Manufacturing,canada,2020,8.37,9.09,76.08,97353.26,97004.49,-0.36,20.65,57.05,42.75,2,Low,42.225,0.36,26.28,3.5781749999999994,67.6,30.7,50.0,63.7,63.5,95.1,year,North America,,,,,,,,,,,,,,,,,,,143497.76627218936
12,data analyst,Transportation,canada,2023,5.0,4.22,3.14,106369.25,107345.3,0.92,-14.88,91.68,24.93,3,Low,4.07,0.92,3.218,1.2465000000000002,66.1,33.4,50.4,64.2,62.8,102.1,year,North America,,,,,,,,,,,,,,,,,,,162398.33585476552
13,accountant,Education,australia,2021,38.73,42.69,22.88,39237.59,36065.26,-8.08,-0.02,93.67,80.81,3,Medium,30.805,8.08,24.78,31.297713,84.1,38.4,62.3,81.1,76.3,99.3,year,Oceania,,,,,,,,,,,,,,,,,,,42883.78121284186
14,data analyst,Healthcare,brazil,2025,44.34,50.93,80.37,52388.41,52896.98,0.97,14.69,82.67,89.61,2,Medium,62.355,0.97,42.138,39.733074,25.6,7.2,17.4,25.9,22.5,42.3,year,South America,,,,,,,,,,,,,,,,,,,206628.82812500003
15,accountant,Energy,singapore,2022,32.26,27.23,22.79,81252.93,83659.0,2.96,7.61,10.63,51.07,5,Medium,27.525,2.96,20.629,16.475182,84.0,66.4,75.8,77.1,61.2,91.3,year,Asia,,,,,,,,,,,,,,,,,,,99594.04761904762
